timestamp,est_x,est_y,est_z,est_vx,est_vy,est_vz,pos_err,vel_err,num_visible_cameras,update_time_sec,nis_mean,cov_px,cov_py,cov_pz,cov_vx,cov_vy,cov_vz
0.00000000,0.99874904,-0.00512344,1.48892343,0.00000000,0.00000000,0.00000000,0.01226804,0.30000000,4,0.26218717,0.51257276,0.00015816,0.00007365,0.00005270,1.00000000,1.00000000,1.00000000
0.03333333,1.00013192,0.02212535,1.50060690,0.02366813,0.76700580,0.33624576,0.01214206,0.57609099,4,0.00359754,1.15368163,0.00106414,0.00083210,0.00070616,0.85797311,0.72016809,0.62473245
0.06666667,1.00879762,0.03967631,1.50011120,0.13898152,0.64740086,0.16136041,0.02163744,0.40961660,4,0.00295858,0.63466376,0.00307458,0.00201667,0.00144514,0.68713008,0.46100301,0.33418463
0.10000000,0.99787029,0.01893628,1.51282361,-0.01475656,0.22382194,0.23512815,0.01701684,0.24718606,4,0.00294654,0.72370446,0.00529941,0.00278599,0.00167118,0.53725567,0.28682962,0.17433842
0.13333333,0.98189219,0.01995908,1.50015412,-0.13090476,0.17542005,0.07975889,0.02647260,0.18963389,4,0.00271721,0.34725314,0.00722994,0.00304183,0.00155002,0.41546390,0.17761120,0.09223686
0.16666667,1.01051620,0.06081984,1.51018198,0.06773902,0.38728569,0.12455831,0.01896392,0.17333167,4,0.00268400,0.58159383,0.00864660,0.00293514,0.00130357,0.31937803,0.11063919,0.05058386
0.20000000,1.01294612,0.04938890,1.49951695,0.06848452,0.26419837,0.04910180,0.01815209,0.10550869,4,0.00342542,0.53877819,0.00950270,0.00263539,0.00105404,0.24460197,0.06977771,0.02918645
0.23333333,1.00537863,0.07472407,1.50004556,0.02603879,0.33609714,0.04419555,0.00917246,0.07430253,4,0.00320512,0.10031993,0.00986838,0.00226717,0.00084427,0.18729255,0.04481849,0.01786990
0.26666667,1.02155550,0.08256331,1.50572782,0.08392046,0.32321380,0.06053182,0.02554551,0.12605456,4,0.00279200,0.56850637,0.00982380,0.00190542,0.00068190,0.14335360,0.02951102,0.01168619
0.30000000,1.01266678,0.08618791,1.49457792,0.04450630,0.29890332,0.01461773,0.01795493,0.07294952,4,0.00229108,0.60027363,0.00947915,0.00158363,0.00055968,0.10987559,0.02002315,0.00817433
0.33333333,0.97493659,0.10338667,1.49942402,-0.07434083,0.32128501,0.02848850,0.02038787,0.05745641,4,0.00232896,0.32717707,0.00892942,0.00131277,0.00046844,0.08441376,0.01406875,0.00610767
0.36666667,1.00081141,0.11077394,1.49932694,0.00390656,0.31183733,0.02540637,0.00695985,0.04678685,4,0.00316204,0.84770443,0.00824875,0.00109307,0.00039972,0.06502330,0.01028921,0.00484992
0.40000000,1.01589203,0.13137447,1.49628451,0.04187846,0.33864322,0.01454600,0.02612769,0.08903871,4,0.00365779,0.47569776,0.00750811,0.00091745,0.00034734,0.05031390,0.00785173,0.00406459
0.43333333,0.99153439,0.11863016,1.49893889,-0.01873284,0.27949932,0.02036244,0.01105506,0.03382076,4,0.00284879,2.23892510,0.00675008,0.00077834,0.00030727,0.03913154,0.00625879,0.00356850
0.46666667,0.98601111,0.13192141,1.49278564,-0.02942005,0.28881618,0.00277154,0.01130568,0.01518376,4,0.00311517,0.61780440,0.00601997,0.00066829,0.00027609,0.03068604,0.00520462,0.00325202
0.50000000,0.98614408,0.15095317,1.50466279,-0.02698648,0.30974984,0.03241813,0.00556220,0.03926160,4,0.00275317,1.49265320,0.00532970,0.00058113,0.00025164,0.02426795,0.00450115,0.00305132
0.53333333,0.95672925,0.15697734,1.49853327,-0.08197004,0.30057904,0.01447971,0.03062288,0.03737673,4,0.00269879,1.40595405,0.00469327,0.00051190,0.00023248,0.01939160,0.00402996,0.00292760
