timestamp,camera_id,u_ideal,v_ideal,visible
0.00000000,camera_0,20.00000000,5.40380592,true
0.00000000,camera_1,20.00000000,5.40380592,true
0.00000000,camera_2,20.00000000,5.40380592,true
0.10000000,camera_0,20.00000000,5.40380592,true
0.10000000,camera_1,20.00000000,5.40380592,true
0.10000000,camera_2,20.00000000,5.40380592,true
0.20000000,camera_0,20.00000000,5.40380592,true
0.20000000,camera_1,20.00000000,5.40380592,true
0.20000000,camera_2,20.00000000,5.40380592,true
0.30000000,camera_0,20.00000000,5.40380592,true
0.30000000,camera_1,20.00000000,5.40380592,true
0.30000000,camera_2,20.00000000,5.40380592,true
0.40000000,camera_0,20.00000000,5.40380592,true
0.40000000,camera_1,20.00000000,5.40380592,true
0.40000000,camera_2,20.00000000,5.40380592,true
0.50000000,camera_0,20.00000000,5.40380592,true
0.50000000,camera_1,20.00000000,5.40380592,true
0.50000000,camera_2,20.00000000,5.40380592,true
0.60000000,camera_0,20.00000000,5.40380592,true
0.60000000,camera_1,20.00000000,5.40380592,true
0.60000000,camera_2,20.00000000,5.40380592,true
0.70000000,camera_0,20.00000000,5.40380592,true
0.70000000,camera_1,20.00000000,5.40380592,true
0.70000000,camera_2,20.00000000,5.40380592,true
0.80000000,camera_0,20.00000000,5.40380592,true
0.80000000,camera_1,20.00000000,5.40380592,true
0.80000000,camera_2,20.00000000,5.40380592,true
0.90000000,camera_0,20.00000000,5.40380592,true
0.90000000,camera_1,20.00000000,5.40380592,true
0.90000000,camera_2,20.00000000,5.40380592,true
1.00000000,camera_0,20.00000000,5.40380592,true
1.00000000,camera_1,20.00000000,5.40380592,true
1.00000000,camera_2,20.00000000,5.40380592,true
1.10000000,camera_0,19.99609306,5.40941684,true
1.10000000,camera_1,20.00390810,5.40941850,true
1.10000000,camera_2,20.00390694,5.40941684,true
1.20000000,camera_0,19.98459182,5.42593423,true
1.20000000,camera_1,20.01542618,5.42596009,true
1.20000000,camera_2,20.01540818,5.42593423,true
1.30000000,camera_0,19.96583689,5.45286895,true
1.30000000,camera_1,20.03425174,5.45299624,true
1.30000000,camera_2,20.03416311,5.45286895,true
1.40000000,camera_0,19.94018198,5.48971301,true
1.40000000,camera_1,20.06009029,5.49010404,true
1.40000000,camera_2,20.05981802,5.48971301,true
1.50000000,camera_0,19.90799160,5.53594293,true
1.50000000,camera_1,20.09265415,5.53687032,true
1.50000000,camera_2,20.09200840,5.53594293,true
1.60000000,camera_0,19.86963882,5.59102292,true
1.60000000,camera_1,20.13166129,5.59289006,true
1.60000000,camera_2,20.13036118,5.59102292,true
1.70000000,camera_0,19.82550314,5.65440797,true
1.70000000,camera_1,20.17683424,5.65776477,true
1.70000000,camera_2,20.17449686,5.65440797,true
1.80000000,camera_0,19.77596842,5.72554678,true
1.80000000,camera_1,20.22789905,5.73110101,true
1.80000000,camera_2,20.22403158,5.72554678,true
1.90000000,camera_0,19.72142100,5.80388455,true
1.90000000,camera_1,20.28458429,5.81250900,true
1.90000000,camera_2,20.27857900,5.80388455,true
2.00000000,camera_0,19.66224785,5.88886552,true
2.00000000,camera_1,20.34662017,5.90160124,true
2.00000000,camera_2,20.33775215,5.88886552,true
2.10000000,camera_0,19.59883496,5.97993535,true
2.10000000,camera_1,20.41373757,5.99799127,true
2.10000000,camera_2,20.40116504,5.97993535,true
2.20000000,camera_0,19.53156579,6.07654334,true
2.20000000,camera_1,20.48566726,6.10129242,true
2.20000000,camera_2,20.46843421,6.07654334,true
2.30000000,camera_0,19.46081994,6.17814433,true
2.30000000,camera_1,20.56213902,6.21111663,true
2.30000000,camera_2,20.53918006,6.17814433,true
2.40000000,camera_0,19.38697189,6.28420052,true
2.40000000,camera_1,20.64288095,6.32707339,true
2.40000000,camera_2,20.61302811,6.28420052,true
2.50000000,camera_0,19.31038997,6.39418293,true
2.50000000,camera_1,20.72761865,6.44876865,true
2.50000000,camera_2,20.68961003,6.39418293,true
2.60000000,camera_0,19.23143540,6.50757279,true
2.60000000,camera_1,20.81607458,6.57580381,true
2.60000000,camera_2,20.76856460,6.50757279,true
2.70000000,camera_0,19.15046155,6.62386263,true
2.70000000,camera_1,20.90796738,6.70777480,true
2.70000000,camera_2,20.84953845,6.62386263,true
2.80000000,camera_0,19.06781324,6.74255723,true
2.80000000,camera_1,21.00301124,6.84427114,true
2.80000000,camera_2,20.93218676,6.74255723,true
2.90000000,camera_0,18.98382628,6.86317432,true
2.90000000,camera_1,21.10091530,6.98487515,true
2.90000000,camera_2,21.01617372,6.86317432,true
3.00000000,camera_0,18.89882702,6.98524521,true
3.00000000,camera_1,21.20138314,7.12916109,true
3.00000000,camera_2,21.10117298,6.98524521,true
3.10000000,camera_0,18.81313215,7.10831510,true
3.10000000,camera_1,21.30411222,7.27669451,true
3.10000000,camera_2,21.18686785,7.10831510,true
3.20000000,camera_0,18.72704847,7.23194338,true
3.20000000,camera_1,21.40879347,7.42703151,true
3.20000000,camera_2,21.27295153,7.23194338,true
3.30000000,camera_0,18.64087286,7.35570367,true
3.30000000,camera_1,21.51511082,7.57971817,true
3.30000000,camera_2,21.35912714,7.35570367,true
3.40000000,camera_0,18.55489232,7.47918382,true
3.40000000,camera_1,21.62274084,7.73429003,true
3.40000000,camera_2,21.44510768,7.47918382,true
3.50000000,camera_0,18.46938407,7.60198570,true
3.50000000,camera_1,21.73135245,7.89027157,true
3.50000000,camera_2,21.53061593,7.60198570,true
3.60000000,camera_0,18.38461576,7.72372492,true
3.60000000,camera_1,21.84060659,8.04717589,true
3.60000000,camera_2,21.61538424,7.72372492,true
3.70000000,camera_0,18.30084573,7.84403046,true
3.70000000,camera_1,21.95015608,8.20450436,true
3.70000000,camera_2,21.69915427,7.84403046,true
3.80000000,camera_0,18.21832337,7.96254418,true
3.80000000,camera_1,22.05964541,8.36174644,true
3.80000000,camera_2,21.78167663,7.96254418,true
3.90000000,camera_0,18.13728948,8.07892025,true
3.90000000,camera_1,22.16871069,8.51837952,true
3.90000000,camera_2,21.86271052,8.07892025,true
4.00000000,camera_0,18.05797674,8.19282449,true
4.00000000,camera_1,22.27697962,8.67386894,true
4.00000000,camera_2,21.94202326,8.19282449,true
4.10000000,camera_0,17.98061023,8.30393368,true
4.10000000,camera_1,22.38407158,8.82766806,true
4.10000000,camera_2,22.01938977,8.30393368,true
4.20000000,camera_0,17.90540791,8.41193479,true
4.20000000,camera_1,22.48959773,8.97921846,true
4.20000000,camera_2,22.09459209,8.41193479,true
4.30000000,camera_0,17.83258125,8.51652412,true
4.30000000,camera_1,22.59316126,9.12795025,true
4.30000000,camera_2,22.16741875,8.51652412,true
4.40000000,camera_0,17.76233582,8.61740644,true
4.40000000,camera_1,22.69435767,9.27328253,true
4.40000000,camera_2,22.23766418,8.61740644,true
4.50000000,camera_0,17.69487195,8.71429404,true
4.50000000,camera_1,22.79277521,9.41462396,true
4.50000000,camera_2,22.30512805,8.71429404,true
4.60000000,camera_0,17.63038542,8.80690578,true
4.60000000,camera_1,22.88799534,9.55137345,true
4.60000000,camera_2,22.36961458,8.80690578,true
4.70000000,camera_0,17.56906813,8.89496603,true
4.70000000,camera_1,22.97959332,9.68292105,true
4.70000000,camera_2,22.43093187,8.89496603,true
4.80000000,camera_0,17.51110888,8.97820366,true
4.80000000,camera_1,23.06713896,9.80864889,true
4.80000000,camera_2,22.48889112,8.97820366,true
4.90000000,camera_0,17.45669414,9.05635089,true
4.90000000,camera_1,23.15019731,9.92793237,true
4.90000000,camera_2,22.54330586,9.05635089,true
5.00000000,camera_0,17.40600879,9.12914217,true
5.00000000,camera_1,23.22832967,10.04014143,true
5.00000000,camera_2,22.59399121,9.12914217,true
5.10000000,camera_0,17.35923703,9.19631301,true
5.10000000,camera_1,23.30109453,10.14464200,true
5.10000000,camera_2,22.64076297,9.19631301,true
5.20000000,camera_0,17.31656316,9.25759868,true
5.20000000,camera_1,23.36804868,10.24079758,true
5.20000000,camera_2,22.68343684,9.25759868,true
5.30000000,camera_0,17.27817254,9.31273301,true
5.30000000,camera_1,23.42874846,10.32797101,true
5.30000000,camera_2,22.72182746,9.31273301,true
5.40000000,camera_0,17.24425248,9.36144699,true
5.40000000,camera_1,23.48275106,10.40552633,true
5.40000000,camera_2,22.75574752,9.36144699,true
5.50000000,camera_0,17.21499324,9.40346738,true
5.50000000,camera_1,23.52961592,10.47283086,true
5.50000000,camera_2,22.78500676,9.40346738,true
5.60000000,camera_0,17.19058903,9.43851525,true
5.60000000,camera_1,23.56890625,10.52925730,true
5.60000000,camera_2,22.80941097,9.43851525,true
