timestamp,camera_id,u,v,visible,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz
0.36666667,camera_0,242.60751601,240.00000000,true,0.99395610,0.10977830,1.50000000,-0.03293349,0.29818683,0.00000000
0.36666667,camera_1,308.31385788,240.00000000,true,0.99395610,0.10977830,1.50000000,-0.03293349,0.29818683,0.00000000
0.36666667,camera_2,327.03431419,240.00000000,true,0.99395610,0.10977830,1.50000000,-0.03293349,0.29818683,0.00000000
0.36666667,camera_3,370.21165916,213.27312424,true,0.99395610,0.10977830,1.50000000,-0.03293349,0.29818683,0.00000000
0.40000000,camera_0,242.88326284,240.00000000,true,0.99280864,0.11971221,1.50000000,-0.03591366,0.29784259,0.00000000
0.40000000,camera_1,307.26123426,240.00000000,true,0.99280864,0.11971221,1.50000000,-0.03591366,0.29784259,0.00000000
0.40000000,camera_2,327.67261658,240.00000000,true,0.99280864,0.11971221,1.50000000,-0.03591366,0.29784259,0.00000000
0.40000000,camera_3,369.65238969,213.02231063,true,0.99280864,0.11971221,1.50000000,-0.03591366,0.29784259,0.00000000
0.43333333,camera_0,243.16515337,240.00000000,true,0.99156189,0.12963414,1.50000000,-0.03889024,0.29746857,0.00000000
0.43333333,camera_1,306.21114207,240.00000000,true,0.99156189,0.12963414,1.50000000,-0.03889024,0.29746857,0.00000000
0.43333333,camera_2,328.31061029,240.00000000,true,0.99156189,0.12963414,1.50000000,-0.03889024,0.29746857,0.00000000
0.43333333,camera_3,369.08568683,212.77397666,true,0.99156189,0.12963414,1.50000000,-0.03889024,0.29746857,0.00000000
0.46666667,camera_0,243.45311789,240.00000000,true,0.99021600,0.13954311,1.50000000,-0.04186293,0.29706480,0.00000000
0.46666667,camera_1,305.16378696,240.00000000,true,0.99021600,0.13954311,1.50000000,-0.04186293,0.29706480,0.00000000
0.46666667,camera_2,328.94826932,240.00000000,true,0.99021600,0.13954311,1.50000000,-0.04186293,0.29706480,0.00000000
0.46666667,camera_3,368.51160680,212.52817103,true,0.99021600,0.13954311,1.50000000,-0.04186293,0.29706480,0.00000000
0.50000000,camera_0,243.74708699,240.00000000,true,0.98877108,0.14943813,1.50000000,-0.04483144,0.29663132,0.00000000
0.50000000,camera_1,304.11937331,240.00000000,true,0.98877108,0.14943813,1.50000000,-0.04483144,0.29663132,0.00000000
0.50000000,camera_2,329.58556760,240.00000000,true,0.98877108,0.14943813,1.50000000,-0.04483144,0.29663132,0.00000000
0.50000000,camera_3,367.93020783,212.28494224,true,0.98877108,0.14943813,1.50000000,-0.04483144,0.29663132,0.00000000
0.53333333,camera_0,244.04699160,240.00000000,true,0.98722728,0.15931821,1.50000000,-0.04779546,0.29616819,0.00000000
0.53333333,camera_1,303.07810415,240.00000000,true,0.98722728,0.15931821,1.50000000,-0.04779546,0.29616819,0.00000000
0.53333333,camera_2,330.22247899,240.00000000,true,0.98722728,0.15931821,1.50000000,-0.04779546,0.29616819,0.00000000
0.53333333,camera_3,367.34155013,212.04433862,true,0.98722728,0.15931821,1.50000000,-0.04779546,0.29616819,0.00000000
0.56666667,camera_0,244.35276296,240.00000000,true,0.98558477,0.16918235,1.50000000,-0.05075470,0.29567543,0.00000000
0.56666667,camera_1,302.04018109,240.00000000,true,0.98558477,0.16918235,1.50000000,-0.05075470,0.29567543,0.00000000
0.56666667,camera_2,330.85897728,240.00000000,true,0.98558477,0.16918235,1.50000000,-0.05075470,0.29567543,0.00000000
0.56666667,camera_3,366.74569599,211.80640822,true,0.98558477,0.16918235,1.50000000,-0.05075470,0.29567543,0.00000000
0.60000000,camera_0,244.66433267,240.00000000,true,0.98384369,0.17902957,1.50000000,-0.05370887,0.29515311,0.00000000
0.60000000,camera_1,301.00580419,240.00000000,true,0.98384369,0.17902957,1.50000000,-0.05370887,0.29515311,0.00000000
0.60000000,camera_2,331.49503617,240.00000000,true,0.98384369,0.17902957,1.50000000,-0.05370887,0.29515311,0.00000000
0.60000000,camera_3,366.14270965,211.57119890,true,0.98384369,0.17902957,1.50000000,-0.05370887,0.29515311,0.00000000
0.63333333,camera_0,244.98163268,240.00000000,true,0.98200424,0.18885889,1.50000000,-0.05665767,0.29460127,0.00000000
0.63333333,camera_1,299.97517190,240.00000000,true,0.98200424,0.18885889,1.50000000,-0.05665767,0.29460127,0.00000000
0.63333333,camera_2,332.13062927,240.00000000,true,0.98200424,0.18885889,1.50000000,-0.05665767,0.29460127,0.00000000
0.63333333,camera_3,365.53265742,211.33875822,true,0.98200424,0.18885889,1.50000000,-0.05665767,0.29460127,0.00000000
0.66666667,camera_0,245.30459529,240.00000000,true,0.98006658,0.19866933,1.50000000,-0.05960080,0.29401997,0.00000000
0.66666667,camera_1,298.94848099,240.00000000,true,0.98006658,0.19866933,1.50000000,-0.05960080,0.29401997,0.00000000
0.66666667,camera_2,332.76573011,240.00000000,true,0.98006658,0.19866933,1.50000000,-0.05960080,0.29401997,0.00000000
0.66666667,camera_3,364.91560760,211.10913348,true,0.98006658,0.19866933,1.50000000,-0.05960080,0.29401997,0.00000000
0.70000000,camera_0,245.63315318,240.00000000,true,0.97803091,0.20845990,1.50000000,-0.06253797,0.29340927,0.00000000
0.70000000,camera_1,297.92592642,240.00000000,true,0.97803091,0.20845990,1.50000000,-0.06253797,0.29340927,0.00000000
0.70000000,camera_2,333.40031211,240.00000000,true,0.97803091,0.20845990,1.50000000,-0.06253797,0.29340927,0.00000000
0.70000000,camera_3,364.29163049,210.88237166,true,0.97803091,0.20845990,1.50000000,-0.06253797,0.29340927,0.00000000
0.73333333,camera_0,245.96723941,240.00000000,true,0.97589745,0.21822962,1.50000000,-0.06546889,0.29276923,0.00000000
0.73333333,camera_1,296.90770130,240.00000000,true,0.97589745,0.21822962,1.50000000,-0.06546889,0.29276923,0.00000000
0.73333333,camera_2,334.03434860,240.00000000,true,0.97589745,0.21822962,1.50000000,-0.06546889,0.29276923,0.00000000
0.73333333,camera_3,363.66079843,210.65851944,true,0.97589745,0.21822962,1.50000000,-0.06546889,0.29276923,0.00000000
0.76666667,camera_0,246.30678743,240.00000000,true,0.97366640,0.22797752,1.50000000,-0.06839326,0.29209992,0.00000000
0.76666667,camera_1,295.89399681,240.00000000,true,0.97366640,0.22797752,1.50000000,-0.06839326,0.29209992,0.00000000
0.76666667,camera_2,334.66781278,240.00000000,true,0.97366640,0.22797752,1.50000000,-0.06839326,0.29209992,0.00000000
0.76666667,camera_3,363.02318574,210.43762315,true,0.97366640,0.22797752,1.50000000,-0.06839326,0.29209992,0.00000000
0.80000000,camera_0,246.65173105,240.00000000,true,0.97133797,0.23770263,1.50000000,-0.07131079,0.29140139,0.00000000
0.80000000,camera_1,294.88500208,240.00000000,true,0.97133797,0.23770263,1.50000000,-0.07131079,0.29140139,0.00000000
0.80000000,camera_2,335.30067777,240.00000000,true,0.97133797,0.23770263,1.50000000,-0.07131079,0.29140139,0.00000000
0.80000000,camera_3,362.37886874,210.21972877,true,0.97133797,0.23770263,1.50000000,-0.07131079,0.29140139,0.00000000
0.83333333,camera_0,247.00200454,240.00000000,true,0.96891242,0.24740396,1.50000000,-0.07422119,0.29067373,0.00000000
0.83333333,camera_1,293.88090416,240.00000000,true,0.96891242,0.24740396,1.50000000,-0.07422119,0.29067373,0.00000000
0.83333333,camera_2,335.93291655,240.00000000,true,0.96891242,0.24740396,1.50000000,-0.07422119,0.29067373,0.00000000
0.83333333,camera_3,361.72792576,210.00488189,true,0.96891242,0.24740396,1.50000000,-0.07422119,0.29067373,0.00000000
0.86666667,camera_0,247.35754251,240.00000000,true,0.96638998,0.25708055,1.50000000,-0.07712417,0.28991699,0.00000000
0.86666667,camera_1,292.88188791,240.00000000,true,0.96638998,0.25708055,1.50000000,-0.07712417,0.28991699,0.00000000
0.86666667,camera_2,336.56450198,240.00000000,true,0.96638998,0.25708055,1.50000000,-0.07712417,0.28991699,0.00000000
0.86666667,camera_3,361.07043708,209.79312772,true,0.96638998,0.25708055,1.50000000,-0.07712417,0.28991699,0.00000000
0.90000000,camera_0,247.71828004,240.00000000,true,0.96377090,0.26673144,1.50000000,-0.08001943,0.28913127,0.00000000
0.90000000,camera_1,291.88813597,240.00000000,true,0.96377090,0.26673144,1.50000000,-0.08001943,0.28913127,0.00000000
0.90000000,camera_2,337.19540678,240.00000000,true,0.96377090,0.26673144,1.50000000,-0.08001943,0.28913127,0.00000000
