timestamp,est_x,est_y,est_z,est_vx,est_vy,est_vz,pos_err,vel_err,num_visible_cameras,update_time_sec,nis_mean,cov_px,cov_py,cov_pz,cov_vx,cov_vy,cov_vz
0.00000000,0.00029854,0.05002357,3.99379516,0.00000000,0.00000000,0.00000000,2.43297610,0.34704793,4,0.31826021,0.83110713,0.00015261,0.00005020,0.00007254,1.00000000,1.00000000,1.00000000
0.03333333,-0.00847487,0.06644586,4.00997388,-0.23047825,0.47260839,0.45737693,2.44585566,0.66521487,4,0.00476550,1.01116538,0.00105205,0.00070727,0.00083832,0.85293127,0.62609274,0.72631398
0.06666667,-0.02413018,0.06549394,4.03309579,-0.34689043,0.22307075,0.57429332,2.46552028,0.76947353,4,0.00317533,0.54299458,0.00302268,0.00144246,0.00203458,0.67699819,0.33314799,0.46512237
0.10000000,-0.02665222,0.07712450,4.00258108,-0.25713824,0.26530716,0.07694642,2.43178688,0.52627929,4,0.00272783,0.78977105,0.00518109,0.00166097,0.00280488,0.52595182,0.17298311,0.28871510
0.13333333,-0.02565271,0.07532083,4.01399107,-0.18530742,0.18464278,0.14376451,2.43963306,0.45091094,4,0.00302604,0.18112016,0.00703906,0.00153516,0.00305052,0.40488348,0.09117633,0.17806510
0.16666667,-0.04919383,0.08793514,4.03751057,-0.28990478,0.22387333,0.25710501,2.46072981,0.57446005,4,0.00374571,0.14555261,0.00839744,0.00128938,0.00292851,0.31041532,0.04992394,0.11035616
0.20000000,-0.06318162,0.08645777,4.03811048,-0.31162542,0.17837646,0.21685470,2.45858952,0.58620753,4,0.00525129,0.75102430,0.00922685,0.00104338,0.00261563,0.23765806,0.02881906,0.06923977
0.23333333,-0.06310925,0.08709018,4.04843565,-0.26644705,0.15502541,0.23036508,2.46568743,0.54609677,4,0.00369200,0.30946197,0.00957561,0.00083871,0.00223919,0.18184770,0.01769819,0.04426592
0.26666667,-0.08902619,0.09732791,4.05315810,-0.33090048,0.17468980,0.21902867,2.46893848,0.60552968,4,0.00317379,0.59560274,0.00953309,0.00068114,0.00187355,0.13919623,0.01162652,0.02903022
0.30000000,-0.09689970,0.08659970,4.05858588,-0.32021167,0.11702881,0.21280148,2.47171734,0.59867185,4,0.00323038,1.31488847,0.00919527,0.00056293,0.00155226,0.10665539,0.00817557,0.01964807
0.33333333,-0.06489702,0.09749278,4.07222222,-0.19078222,0.13925607,0.23295136,2.48032463,0.47504695,4,0.00338158,0.48682608,0.00866234,0.00047442,0.00128495,0.08195073,0.00613636,0.01379757
0.36666667,-0.09328029,0.10089786,4.07627780,-0.25160320,0.13562671,0.22244811,2.48339930,0.53132506,4,0.00408879,1.16141942,0.00800709,0.00040781,0.00107005,0.06317445,0.00489237,0.01010199
0.40000000,-0.12378536,0.10175055,4.08795157,-0.30767836,0.12539698,0.23368037,2.49479246,0.58913367,4,0.00319704,0.20021954,0.00728994,0.00035702,0.00090016,0.04890541,0.00411326,0.00773213
0.43333333,-0.11177130,0.10590776,4.07864038,-0.25544098,0.12547213,0.19154921,2.48172620,0.52998572,4,0.00268750,1.51597447,0.00655865,0.00031781,0.00076648,0.03807357,0.00361713,0.00618795
0.46666667,-0.11692692,0.10120229,4.09095183,-0.24805304,0.10265912,0.20552333,2.49175133,0.52851143,4,0.00353400,0.85925691,0.00584918,0.00028704,0.00066157,0.02986742,0.00329807,0.00516972
0.50000000,-0.12399996,0.11459476,4.10022145,-0.24565820,0.12756339,0.21076678,2.49912514,0.52327522,4,0.00389388,0.77409422,0.00518183,0.00026281,0.00057894,0.02364652,0.00309479,0.00449164
0.53333333,-0.11151643,0.11519991,4.10485415,-0.20581718,0.11858639,0.20567576,2.49987486,0.48463537,4,0.00428854,1.14855221,0.00456768,0.00024360,0.00051336,0.01892440,0.00296792,0.00403707
0.56666667,-0.14848819,0.11735696,4.10716922,-0.26070465,0.11425509,0.19610410,2.50374728,0.53643080,4,0.00343929,0.76740660,0.00401320,0.00022828,0.00046110,0.01533980,0.00289197,0.00373315
0.60000000,-0.15598995,0.12171290,4.11343580,-0.25864812,0.11560407,0.19553329,2.50852138,0.53383587,4,0.00369871,0.44053117,0.00352080,0.00021608,0.00041920,0.01262087,0.00285031,0.00353186
0.63333333,-0.16493891,0.12260406,4.10703490,-0.25919027,0.10845570,0.16892261,2.50103767,0.53114141,4,0.00346271,0.92503737,0.00308827,0.00020639,0.00038536,0.01055731,0.00283142,0.00340099
0.66666667,-0.20292099,0.12299815,4.11482409,-0.30582365,0.10039301,0.17340762,2.51197588,0.57829191,4,0.00570671,1.23684777,0.00271153,0.00019868,0.00035800,0.00899060,0.00282700,0.00331938
0.70000000,-0.15719440,0.13505367,4.12722130,-0.22008443,0.12229877,0.18707730,2.51555236,0.49284420,4,0.00369700,4.12205750,0.00238614,0.00019274,0.00033594,0.00780265,0.00283235,0.00327238
0.73333333,-0.18967855,0.13963881,4.14277972,-0.25747276,0.12350235,0.20662783,2.53347904,0.53237416,4,0.00355592,1.24405954,0.00210612,0.00018819,0.00031807,0.00690178,0.00284291,0.00324876
0.76666667,-0.20338405,0.14173495,4.15008767,-0.26488609,0.11823470,0.20755324,2.54082191,0.54005294,4,0.00343146,2.10696388,0.00186668,0.00018479,0.00030361,0.00622115,0.00285585,0.00324076
0.80000000,-0.20100823,0.14867336,4.15957546,-0.24897855,0.12608812,0.21310142,2.54784898,0.52440761,4,0.00446183,0.54884820,0.00166267,0.00018232,0.00029205,0.00570895,0.00286924,0.00324334
