timestamp,est_x,est_y,est_z,est_vx,est_vy,est_vz,pos_err,vel_err,num_visible_cameras,update_time_sec,nis_mean,cov_px,cov_py,cov_pz,cov_vx,cov_vy,cov_vz
0.00000000,1.00000000,0.00000000,1.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30000000,4,0.35358888,0.00000001,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000
0.03333333,0.99959147,0.00956935,1.49973171,-0.01225675,0.28710045,-0.00804934,0.00062115,0.01779022,4,0.00457042,0.08916962,0.00067320,0.00054475,0.00038866,0.60603614,0.49041643,0.34991468
0.06666667,0.99960645,0.02001064,1.50007306,-0.00590304,0.30017156,0.00109741,0.00020724,0.00112573,4,0.00318875,0.00052183,0.00159211,0.00108435,0.00056866,0.35850372,0.24423767,0.12818117
0.10000000,0.99927197,0.03001736,1.50010472,-0.00728062,0.30018173,0.00104824,0.00029793,0.00203734,4,0.00296300,0.00015236,0.00206875,0.00119951,0.00048850,0.20727428,0.12032302,0.04919153
0.13333333,0.99888326,0.03999471,1.50009039,-0.00837644,0.29996652,0.00067800,0.00032953,0.00368909,4,0.00439671,0.00021507,0.00208865,0.00102514,0.00034354,0.11799873,0.05814115,0.01976959
0.16666667,0.99844449,0.04997102,1.50006282,-0.00933484,0.29983150,0.00037534,0.00031226,0.00567510,4,0.00395000,0.00021034,0.00183433,0.00075153,0.00021796,0.06665528,0.02763162,0.00839344
0.20000000,0.99793680,0.05995108,1.50003852,-0.01031975,0.29976093,0.00018860,0.00026685,0.00767766,4,0.00619908,0.00016618,0.00147654,0.00049679,0.00012980,0.03763644,0.01309254,0.00389073
0.23333333,0.99734065,0.06993105,1.50002191,-0.01140513,0.29971118,0.00008768,0.00021181,0.00958849,4,0.00337917,0.00011749,0.00112097,0.00030516,0.00007410,0.02141315,0.00637141,0.00210177
0.26666667,0.99664309,0.07990613,1.50001197,-0.01260510,0.29965631,0.00003881,0.00015930,0.01138605,4,0.00312113,0.00009293,0.00081659,0.00017796,0.00004119,0.01240612,0.00336046,0.00140791
0.30000000,0.99583793,0.08987312,1.50000644,-0.01390772,0.29958604,0.00002305,0.00011511,0.01308037,4,0.00314342,0.00011799,0.00057717,0.00010035,0.00002267,0.00743280,0.00206106,0.00115372
0.33333333,0.99492355,0.09983026,1.50000349,-0.01529697,0.29949564,0.00003601,0.00008075,0.01468679,4,0.00442862,0.00022459,0.00039887,0.00005580,0.00001264,0.00470474,0.00152974,0.00105967
0.36666667,0.99390073,0.10977652,1.50000192,-0.01676440,0.29937908,0.00008044,0.00005544,0.01621318,4,0.00391896,0.00046300,0.00027114,0.00003134,0.00000736,0.00322427,0.00132934,0.00099814
0.40000000,0.99277114,0.11971113,1.50000105,-0.01831577,0.29922608,0.00015239,0.00003753,0.01765285,4,0.00413838,0.00091591,0.00018228,0.00001830,0.00000463,0.00243594,0.00125733,0.00091763
0.43333333,0.99153667,0.12963334,1.50000053,-0.01997716,0.29902017,0.00023259,0.00002524,0.01897805,4,0.00410188,0.00171738,0.00012189,0.00001144,0.00000320,0.00202965,0.00121760,0.00081847
0.46666667,0.99019899,0.13954238,1.50000020,-0.02180245,0.29874086,0.00029817,0.00001703,0.02013258,4,0.00505967,0.00306317,0.00008164,0.00000784,0.00000240,0.00183072,0.00116499,0.00072291
0.50000000,0.98875949,0.14943741,1.50000001,-0.02387913,0.29837862,0.00033924,0.00001161,0.02102778,4,0.00363767,0.00517631,0.00005528,0.00000591,0.00000192,0.00173860,0.00108650,0.00064598
0.53333333,0.98721922,0.15931750,1.49999992,-0.02632340,0.29794653,0.00036113,0.00000809,0.02154860,4,0.00379296,0.00820815,0.00003826,0.00000483,0.00000162,0.00169299,0.00099232,0.00058961
0.56666667,0.98557896,0.16918166,1.49999987,-0.02925112,0.29746878,0.00037487,0.00000585,0.02158149,4,0.00380938,0.01205860,0.00002740,0.00000417,0.00000141,0.00165642,0.00090081,0.00054954
0.60000000,0.98383931,0.17902890,1.49999984,-0.03272002,0.29696359,0.00038817,0.00000443,0.02107037,4,0.00652492,0.01617822,0.00002053,0.00000370,0.00000127,0.00160687,0.00082485,0.00052095
0.63333333,0.98200074,0.18885822,1.49999981,-0.03667195,0.29643829,0.00040309,0.00000357,0.02007402,4,0.00385346,0.01964028,0.00001619,0.00000335,0.00000117,0.00153576,0.00076814,0.00050028
0.66666667,0.98006362,0.19866864,1.49999978,-0.04093259,0.29589248,0.00041804,0.00000305,0.01876654,4,0.00359317,0.02166456,0.00001342,0.00000308,0.00000110,0.00144623,0.00072833,0.00048522
0.70000000,0.97802829,0.20845918,1.49999973,-0.04528508,0.29532240,0.00043067,0.00000273,0.01736398,4,0.00435454,0.02213896,0.00001160,0.00000286,0.00000104,0.00134857,0.00070093,0.00047421
0.73333333,0.97589505,0.21822886,1.49999969,-0.04955637,0.29472435,0.00043984,0.00000254,0.01603821,4,0.00392283,0.02155149,0.00001033,0.00000270,0.00000100,0.00125409,0.00068176,0.00046611
0.76666667,0.97366414,0.22797672,1.49999964,-0.05365446,0.29409666,0.00044578,0.00000242,0.01488012,4,0.00310913,0.02051929,0.00000938,0.00000258,0.00000097,0.00117078,0.00066782,0.00046010
0.80000000,0.97133583,0.23770177,1.49999960,-0.05755591,0.29343980,0.00044965,0.00000234,0.01391237,4,0.00334646,0.01946132,0.00000863,0.00000248,0.00000095,0.00110221,0.00065728,0.00045560
0.83333333,0.96891037,0.24740306,1.49999956,-0.06127635,0.29275494,0.00045268,0.00000229,0.01311889,4,0.00500762,0.01855846,0.00000802,0.00000242,0.00000093,0.00104839,0.00064910,0.00045220
0.86666667,0.96638799,0.25707960,1.49999951,-0.06484586,0.29204322,0.00045572,0.00000226,0.01246937,4,0.00429858,0.01784059,0.00000751,0.00000236,0.00000092,0.00100732,0.00064268,0.00044963
0.90000000,0.96376895,0.26673043,1.49999947,-0.06829470,0.29130515,0.00045921,0.00000226,0.01193339,4,0.00508175,0.01727187,0.00000709,0.00000232,0.00000091,0.00097631,0.00063764,0.00044769
0.93333333,0.96105352,0.27635458,1.49999942,-0.07164734,0.29054071,0.00046327,0.00000227,0.01148626,4,0.00390579,0.01680373,0.00000674,0.00000229,0.00000090,0.00095276,0.00063370,0.00044623
0.96666667,0.95824196,0.28595110,1.49999937,-0.07492141,0.28974944,0.00046779,0.00000231,0.01111001,4,0.00384167,0.01639791,0.00000645,0.00000227,0.00000089,0.00093454,0.00063062,0.00044515
1.00000000,0.95533457,0.29551901,1.49999932,-0.07812906,0.28893103,0.00047265,0.00000236,0.01079214,4,0.00453542,0.01603262,0.00000623,0.00000225,0.00000089,0.00092012,0.00062820,0.00044435
1.03333333,0.95233163,0.30505737,1.49999926,-0.08127871,0.28808506,0.00047774,0.00000243,0.01052383,4,0.00405058,0.01570008,0.00000604,0.00000223,0.00000089,0.00090845,0.00062630,0.00044377
1.06666667,0.94923345,0.31456522,1.49999920,-0.08437684,0.28721132,0.00048298,0.00000252,0.01029820,4,0.00363350,0.01540075,0.00000590,0.00000222,0.00000088,0.00089887,0.00062479,0.00044335
1.10000000,0.94604033,0.32404161,1.49999914,-0.08742896,0.28630978,0.00048835,0.00000261,0.01010938,4,0.00443737,0.01513686,0.00000578,0.00000221,0.00000088,0.00089093,0.00062359,0.00044307
1.13333333,0.94275260,0.33348559,1.49999908,-0.09044002,0.28538036,0.00049384,0.00000272,0.00995208,4,0.00455304,0.01490990,0.00000568,0.00000220,0.00000088,0.00088433,0.00062262,0.00044289
1.16666667,0.93937060,0.34289621,1.49999901,-0.09341466,0.28442304,0.00049945,0.00000283,0.00982135,4,0.00364679,0.01471950,0.00000561,0.00000220,0.00000088,0.00087885,0.00062183,0.00044279
1.20000000,0.93589464,0.35227255,1.49999893,-0.09635712,0.28343795,0.00050518,0.00000295,0.00971271,4,0.00441675,0.01456314,0.00000554,0.00000219,0.00000088,0.00087429,0.00062119,0.00044275
1.23333333,0.93232510,0.36161365,1.49999886,-0.09927105,0.28242503,0.00051100,0.00000309,0.00962220,4,0.00381883,0.01443655,0.00000549,0.00000219,0.00000088,0.00087051,0.00062067,0.00044276
1.26666667,0.92866231,0.37091859,1.49999878,-0.10215963,0.28138434,0.00051693,0.00000323,0.00954641,4,0.00482038,0.01433560,0.00000544,0.00000218,0.00000088,0.00086736,0.00062024,0.00044281
1.30000000,0.92490666,0.38018644,1.49999870,-0.10502548,0.28031597,0.00052292,0.00000337,0.00948247,4,0.00389838,0.01425578,0.00000541,0.00000218,0.00000088,0.00086471,0.00061989,0.00044289
1.33333333,0.92105851,0.38941626,1.49999862,-0.10787069,0.27921995,0.00052897,0.00000352,0.00942805,4,0.00357346,0.01419358,0.00000537,0.00000218,0.00000088,0.00086248,0.00061959,0.00044300
1.36666667,0.91711826,0.39860714,1.49999853,-0.11069693,0.27809626,0.00053505,0.00000368,0.00938118,4,0.00461242,0.01414580,0.00000535,0.00000218,0.00000088,0.00086057,0.00061935,0.00044312
1.40000000,0.91308628,0.40775816,1.49999844,-0.11350553,0.27694506,0.00054115,0.00000384,0.00934034,4,0.00453008,0.01410903,0.00000532,0.00000217,0.00000088,0.00085893,0.00061914,0.00044326
1.43333333,0.90896300,0.41686840,1.49999835,-0.11629746,0.27576642,0.00054724,0.00000401,0.00930427,4,0.00371821,0.01408150,0.00000530,0.00000217,0.00000089,0.00085749,0.00061897,0.00044341
1.46666667,0.90474882,0.42593695,1.49999826,-0.11907344,0.27456035,0.00055332,0.00000418,0.00927198,4,0.00374058,0.01406162,0.00000528,0.00000217,0.00000089,0.00085621,0.00061882,0.00044356
1.50000000,0.90044416,0.43496290,1.49999817,-0.12183408,0.27332704,0.00055937,0.00000435,0.00924266,4,0.00390483,0.01404754,0.00000526,0.00000217,0.00000089,0.00085508,0.00061869,0.00044373
1.53333333,0.89604945,0.44394536,1.49999807,-0.12457974,0.27206655,0.00056538,0.00000454,0.00921564,4,0.00499550,0.01403835,0.00000525,0.00000217,0.00000089,0.00085404,0.00061859,0.00044389
1.56666667,0.89156513,0.45288342,1.49999797,-0.12731065,0.27077894,0.00057136,0.00000472,0.00919045,4,0.00372333,0.01403303,0.00000523,0.00000217,0.00000089,0.00085310,0.00061850,0.00044407
1.60000000,0.88699166,0.46177619,1.49999787,-0.13002704,0.26946443,0.00057725,0.00000491,0.00916662,4,0.00361275,0.01403083,0.00000522,0.00000217,0.00000089,0.00085222,0.00061842,0.00044424
1.63333333,0.88232949,0.47062278,1.49999777,-0.13272893,0.26812301,0.00058309,0.00000510,0.00914385,4,0.00428046,0.01403111,0.00000521,0.00000217,0.00000089,0.00085140,0.00061835,0.00044442
1.66666667,0.87757908,0.47942231,1.49999766,-0.13541632,0.26675489,0.00058887,0.00000530,0.00912187,4,0.00515783,0.01403324,0.00000519,0.00000217,0.00000089,0.00085063,0.00061829,0.00044459
1.70000000,0.87274090,0.48817389,1.49999755,-0.13808923,0.26536019,0.00059456,0.00000550,0.00910045,4,0.00600408,0.01403724,0.00000518,0.00000217,0.00000089,0.00084989,0.00061824,0.00044477
1.73333333,0.86781546,0.49687666,1.49999745,-0.14074750,0.26393904,0.00060018,0.00000570,0.00907946,4,0.00362888,0.01404226,0.00000517,0.00000216,0.00000089,0.00084918,0.00061820,0.00044495
1.76666667,0.86280323,0.50552973,1.49999734,-0.14339105,0.26249151,0.00060570,0.00000591,0.00905872,4,0.00411192,0.01404845,0.00000516,0.00000216,0.00000089,0.00084850,0.00061817,0.00044513
1.80000000,0.85770471,0.51413225,1.49999722,-0.14601972,0.26101781,0.00061113,0.00000612,0.00903815,4,0.00560854,0.01405519,0.00000515,0.00000216,0.00000089,0.00084784,0.00061813,0.00044530
1.83333333,0.85252043,0.52268336,1.49999711,-0.14863333,0.25951807,0.00061647,0.00000633,0.00901767,4,0.00399538,0.01406235,0.00000514,0.00000216,0.00000090,0.00084719,0.00061811,0.00044548
1.86666667,0.84725089,0.53118220,1.49999699,-0.15123165,0.25799240,0.00062171,0.00000655,0.00899723,4,0.00410642,0.01407025,0.00000513,0.00000216,0.00000090,0.00084656,0.00061808,0.00044565
1.90000000,0.84189662,0.53962792,1.49999688,-0.15381454,0.25644100,0.00062686,0.00000677,0.00897675,4,0.00461404,0.01407832,0.00000512,0.00000216,0.00000090,0.00084595,0.00061806,0.00044582
1.93333333,0.83645816,0.54801967,1.49999676,-0.15638175,0.25486400,0.00063190,0.00000699,0.00895624,4,0.00465167,0.01408682,0.00000511,0.00000216,0.00000090,0.00084534,0.00061805,0.00044599
1.96666667,0.83093606,0.55635663,1.49999664,-0.15893306,0.25326150,0.00063683,0.00000721,0.00893561,4,0.00362079,0.01409554,0.00000510,0.00000216,0.00000090,0.00084475,0.00061803,0.00044616
2.00000000,0.82533085,0.56463794,1.49999652,-0.16146825,0.25163376,0.00064166,0.00000743,0.00891488,4,0.00393200,0.01410418,0.00000509,0.00000216,0.00000090,0.00084417,0.00061802,0.00044632
2.03333333,0.81964312,0.57286279,1.49999640,-0.16398708,0.24998087,0.00064638,0.00000767,0.00889402,4,0.00583458,0.01411316,0.00000508,0.00000216,0.00000090,0.00084360,0.00061801,0.00044648
2.06666667,0.81387341,0.58103036,1.49999627,-0.16648929,0.24830299,0.00065099,0.00000790,0.00887304,4,0.00356638,0.01412199,0.00000507,0.00000216,0.00000090,0.00084303,0.00061800,0.00044664
2.10000000,0.80802232,0.58913982,1.49999615,-0.16897470,0.24660031,0.00065549,0.00000813,0.00885191,4,0.00355413,0.01413095,0.00000506,0.00000216,0.00000090,0.00084248,0.00061800,0.00044680
2.13333333,0.80209042,0.59719037,1.49999602,-0.17144303,0.24487303,0.00065985,0.00000837,0.00883063,4,0.00393296,0.01413973,0.00000505,0.00000216,0.00000090,0.00084193,0.00061799,0.00044695
