timestamp,est_x,est_y,est_z,est_vx,est_vy,est_vz,pos_err,vel_err,num_visible_cameras,update_time_sec,nis_mean,cov_px,cov_py,cov_pz,cov_vx,cov_vy,cov_vz
0.00000000,0.00029298,0.04997263,3.99374971,0.00000000,0.00000000,0.00000000,2.43292961,0.34704793,4,0.30291329,,0.00016088,0.00005324,0.00007664,1.00000000,1.00000000,1.00000000
0.03333333,-0.01152644,0.06999868,4.01128114,-0.30847905,0.57466446,0.49438951,2.44727540,0.78707810,4,0.29859475,,0.00011564,0.00005109,0.00007388,0.20599139,0.08765232,0.12277812
0.06666667,-0.02502003,0.07078495,4.02590806,-0.36425441,0.24744466,0.46427888,2.45846871,0.72437862,4,0.30789437,,0.00012185,0.00004416,0.00006156,0.06691443,0.02369051,0.03308942
0.10000000,-0.02873108,0.07592320,4.01675656,-0.25753780,0.21191678,0.14879659,2.44597319,0.52334698,4,0.31038492,,0.00010871,0.00003920,0.00005129,0.02791356,0.01011435,0.01361733
0.13333333,-0.02987143,0.07809485,4.01997622,-0.18343488,0.16317961,0.13202632,2.44578083,0.44936426,4,0.32611354,,0.00009542,0.00003336,0.00004391,0.01431165,0.00525951,0.00707813
0.16666667,-0.04332815,0.08593975,4.03106781,-0.24352401,0.18276988,0.18794276,2.45403371,0.51405796,4,0.30372462,,0.00008289,0.00002840,0.00003881,0.00836520,0.00321229,0.00434042
0.20000000,-0.05633405,0.08613655,4.03784403,-0.27750004,0.13984195,0.19185476,2.45800381,0.55096954,4,0.29775017,,0.00007341,0.00002499,0.00003632,0.00549148,0.00227143,0.00307976
0.23333333,-0.06468334,0.08762858,4.04392773,-0.27161919,0.11884698,0.19003558,2.46127518,0.54742392,4,0.29948946,,0.00006569,0.00002206,0.00003430,0.00394038,0.00177882,0.00239276
0.26666667,-0.07911095,0.09161949,4.05275689,-0.30150539,0.11929464,0.20468223,2.46782113,0.57882667,4,0.31810033,,0.00006214,0.00002106,0.00003033,0.00313388,0.00156657,0.00192016
0.30000000,-0.08925238,0.09267032,4.06304463,-0.30169475,0.10200258,0.22393105,2.47570713,0.58502512,4,0.29628229,,0.00005876,0.00002034,0.00002782,0.00262143,0.00144776,0.00168068
