timestamp,est_x,est_y,est_z,est_vx,est_vy,est_vz,pos_err,vel_err,num_visible_cameras,update_time_sec,nis_mean,cov_px,cov_py,cov_pz,cov_vx,cov_vy,cov_vz
0.00000000,0.99855167,-0.00585409,1.48795374,0.00000000,0.00000000,0.00000000,0.01347147,0.30000000,4,0.30780333,0.48567746,0.00008162,0.00003546,0.00002524,1.00000000,1.00000000,1.00000000
0.03333333,1.00436790,0.02052536,1.50302298,0.15635738,0.76591790,0.44237550,0.01180860,0.66195492,4,0.00065142,0.68394828,0.00014094,0.00006114,0.00004395,0.17839047,0.08245026,0.06010081
0.06666667,1.00690138,0.02995135,1.50335582,0.11157246,0.49743206,0.20121938,0.01267859,0.30547593,4,0.00059713,1.62929463,0.00012826,0.00005178,0.00003719,0.05082288,0.02156316,0.01556831
0.10000000,0.99934645,0.03195440,1.50610833,-0.02122901,0.32408659,0.15425898,0.00641797,0.15662727,4,0.00058858,2.00577139,0.00010864,0.00004337,0.00003110,0.02143490,0.00908434,0.00658973
0.13333333,0.98965373,0.03646946,1.50474354,-0.10401283,0.26537858,0.09304036,0.01122604,0.13529798,4,0.00058842,1.29845809,0.00009308,0.00003724,0.00002667,0.01129188,0.00491637,0.00362582
0.16666667,1.00021836,0.05162766,1.50720455,0.00263056,0.31471465,0.08797853,0.00753514,0.09098645,4,0.00058171,1.46881613,0.00008137,0.00003260,0.00002338,0.00689343,0.00314333,0.00238793
0.20000000,1.00614513,0.05829367,1.50387426,0.04064485,0.28842107,0.04418390,0.00899535,0.07424305,4,0.00058529,1.53595343,0.00007260,0.00002907,0.00002096,0.00470443,0.00228636,0.00180595
0.23333333,1.00621099,0.06829816,1.50312238,0.03311781,0.29094072,0.02982901,0.00935146,0.06233739,4,0.00112892,0.29894064,0.00006574,0.00002643,0.00001917,0.00350459,0.00184422,0.00151596
0.26666667,1.01292797,0.08231432,1.50225690,0.06262580,0.31585349,0.01842739,0.01645929,0.09012126,4,0.00132667,1.60855951,0.00006035,0.00002442,0.00001786,0.00280890,0.00160712,0.00136906
0.30000000,1.01397042,0.09411798,1.50073544,0.05737568,0.32313059,0.00567082,0.01852433,0.08796552,4,0.00091658,1.08460797,0.00005612,0.00002292,0.00001694,0.00239170,0.00147985,0.00129690
0.33333333,1.00226213,0.10272137,1.50059862,-0.00608189,0.31263357,0.00372217,0.00783432,0.02798686,4,0.00120417,2.76395961,0.00005278,0.00002186,0.00001633,0.00213639,0.00141435,0.00126456
0.36666667,1.00213253,0.11264480,1.49855477,-0.00570651,0.30990304,-0.00909209,0.00878405,0.03100394,4,0.00082004,0.98079030,0.00005013,0.00002111,0.00001593,0.00197924,0.00138212,0.00125177
0.40000000,1.00656161,0.12402240,1.49716640,0.01447739,0.31501301,-0.01553172,0.01468848,0.05545553,4,0.00075304,0.99086172,0.00004808,0.00002059,0.00001568,0.00188396,0.00136736,0.00124798
0.43333333,1.00275782,0.12958809,1.49918119,-0.00346375,0.28850095,-0.00042368,0.01122592,0.03654632,4,0.00073958,3.10525409,0.00004653,0.00002025,0.00001555,0.00182804,0.00136198,0.00124814
0.46666667,0.99739618,0.13858167,1.49680020,-0.02599237,0.28582063,-0.01460621,0.00791948,0.02432381,4,0.00073367,1.29556116,0.00004535,0.00002006,0.00001549,0.00179632,0.00136114,0.00124934
0.50000000,0.99372668,0.14937911,1.49951786,-0.03822933,0.29327133,0.00465457,0.00497935,0.00874885,4,0.00073417,1.79039285,0.00004451,0.00001996,0.00001548,0.00178001,0.00136164,0.00125029
0.53333333,0.98365719,0.15646501,1.49813467,-0.07577305,0.27954987,-0.00460206,0.00493617,0.03286477,4,0.00073075,2.90493363,0.00004394,0.00001993,0.00001550,0.00177306,0.00136253,0.00125100
0.56666667,0.98340106,0.16575012,1.49819410,-0.06596220,0.27905603,-0.00332166,0.00445086,0.02277073,4,0.00072742,0.95077743,0.00004356,0.00001993,0.00001553,0.00177098,0.00136275,0.00125094
0.60000000,0.98023558,0.17359483,1.49936571,-0.06997410,0.27105674,0.00439717,0.00655417,0.02940286,4,0.00072600,0.80742292,0.00004335,0.00001993,0.00001556,0.00177157,0.00136245,0.00125065
0.63333333,0.97780171,0.17880503,1.49702192,-0.06996895,0.24973789,-0.01058482,0.01129647,0.04797866,4,0.00076767,1.02573839,0.00004324,0.00001994,0.00001558,0.00177310,0.00136184,0.00125030
0.66666667,0.98454702,0.19001165,1.49511637,-0.03075913,0.26473599,-0.01992094,0.01090319,0.04567535,4,0.00073475,3.55280986,0.00004320,0.00001994,0.00001559,0.00177453,0.00136073,0.00124966
