timestamp,est_x,est_y,est_z,est_vx,est_vy,est_vz,pos_err,vel_err,num_visible_cameras,update_time_sec,nis_mean,cov_px,cov_py,cov_pz,cov_vx,cov_vy,cov_vz
0.00000000,1.00000000,0.00000000,1.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30000000,4,0.44837217,,0.00010162,0.00007027,0.00004361,1.00000000,1.00000000,1.00000000
0.03333333,0.99981515,0.00946506,1.49995216,-0.01050025,0.26731612,-0.00279357,0.00055358,0.03363502,4,0.63114804,,0.00008828,0.00006364,0.00004352,0.14959347,0.10923929,0.07392163
0.06666667,0.99970262,0.01966412,1.49994259,-0.00624005,0.29032956,-0.00134265,0.00035314,0.00970675,4,0.43882896,,0.00008083,0.00006292,0.00004013,0.04353013,0.03257849,0.02067594
0.10000000,0.99953320,0.02981370,1.49996570,-0.00578697,0.29633533,-0.00053969,0.00018577,0.00480258,4,0.35043992,,0.00006706,0.00004866,0.00003338,0.01765633,0.01255611,0.00845442
0.13333333,0.99925562,0.03986434,1.49998598,-0.00666658,0.29807298,-0.00018106,0.00013748,0.00559376,4,0.38622579,,0.00006013,0.00004412,0.00002727,0.00937210,0.00683383,0.00435888
0.16666667,0.99888385,0.04989446,1.49999191,-0.00793048,0.29887186,-0.00008399,0.00015839,0.00710382,4,0.37925254,,0.00005192,0.00003823,0.00002239,0.00556021,0.00414305,0.00266829
0.20000000,0.99842277,0.05991145,1.49999607,-0.00935517,0.29928853,-0.00002449,0.00022839,0.00863577,4,0.29980604,,0.00004600,0.00003233,0.00002097,0.00374254,0.00278050,0.00201105
0.23333333,0.99786617,0.06990629,1.49998897,-0.01092499,0.29944782,-0.00004824,0.00031748,0.01005963,4,0.34143867,,0.00004028,0.00002892,0.00001900,0.00273536,0.00213638,0.00162151
0.26666667,0.99723814,0.07989164,1.49999855,-0.01247578,0.29951925,0.00004439,0.00043704,0.01150867,4,0.32916933,,0.00003763,0.00002727,0.00001786,0.00223975,0.00181771,0.00143001
0.30000000,0.99652303,0.08989412,1.49999479,-0.01412454,0.29969020,0.00003959,0.00057054,0.01287089,4,0.31470300,,0.00003616,0.00002639,0.00001699,0.00196285,0.00164460,0.00133000
0.33333333,0.99568746,0.09986413,1.49998589,-0.01603079,0.29967715,0.00001877,0.00068413,0.01396882,4,0.31862296,,0.00003356,0.00002579,0.00001622,0.00175849,0.00154801,0.00127374
0.36666667,0.99474278,0.10983502,1.49998718,-0.01811521,0.29969852,0.00006340,0.00078882,0.01489533,4,0.30982625,,0.00003105,0.00002458,0.00001560,0.00162746,0.00147040,0.00124430
0.40000000,0.99372126,0.11979239,1.50001396,-0.02020709,0.29965522,0.00025064,0.00091624,0.01581280,4,0.36284600,,0.00002976,0.00002322,0.00001538,0.00157026,0.00141882,0.00123910
0.43333333,0.99260535,0.12977238,1.50004373,-0.02242162,0.29975799,0.00042196,0.00105349,0.01663234,4,0.29713683,,0.00002923,0.00002182,0.00001492,0.00154620,0.00137736,0.00122388
0.46666667,0.99138680,0.13971958,1.50003396,-0.02476347,0.29969667,0.00034441,0.00118451,0.01730424,4,0.28280783,,0.00002898,0.00002128,0.00001528,0.00153878,0.00137323,0.00124353
0.50000000,0.99002742,0.14963481,1.50006138,-0.02741416,0.29949456,0.00052668,0.00127312,0.01765891,4,0.30272700,,0.00002832,0.00002143,0.00001575,0.00152286,0.00138888,0.00125739
0.53333333,0.98857637,0.15956846,1.50006632,-0.03009551,0.29943372,0.00054159,0.00137371,0.01800681,4,0.29316075,,0.00002819,0.00002104,0.00001557,0.00152203,0.00137868,0.00124559
0.56666667,0.98697167,0.16950272,1.50008959,-0.03311221,0.29940991,0.00068083,0.00142624,0.01804625,4,0.31208829,,0.00002740,0.00002103,0.00001580,0.00150119,0.00137744,0.00125101
0.60000000,0.98530909,0.17937889,1.50009814,-0.03590663,0.29906673,0.00071578,0.00150965,0.01824140,4,0.35909754,,0.00002763,0.00002165,0.00001539,0.00151423,0.00139812,0.00123328
0.63333333,0.98349774,0.18924650,1.50009898,-0.03899120,0.29876852,0.00071334,0.00154615,0.01816533,4,0.27536288,,0.00002729,0.00002129,0.00001520,0.00150574,0.00138173,0.00123147
0.66666667,0.98163408,0.19905338,1.50009625,-0.04180460,0.29817396,0.00069112,0.00161673,0.01828765,4,0.27796417,,0.00002803,0.00002120,0.00001561,0.00152951,0.00138001,0.00124929
0.70000000,0.97964212,0.20884762,1.50011100,-0.04479311,0.29762264,0.00078062,0.00166092,0.01825491,4,0.27471046,,0.00002857,0.00002133,0.00001559,0.00153925,0.00138519,0.00124584
0.73333333,0.97754923,0.21864671,1.50009828,-0.04777716,0.29719048,0.00068205,0.00170646,0.01824856,4,0.31873775,,0.00002920,0.00002131,0.00001470,0.00154816,0.00138270,0.00121364
0.76666667,0.97531734,0.22843233,1.50011757,-0.05094773,0.29676329,0.00079829,0.00171647,0.01807570,4,0.34918500,,0.00002924,0.00002138,0.00001497,0.00153971,0.00138111,0.00122997
0.80000000,0.97300656,0.23815460,1.50015661,-0.05395602,0.29605073,0.00101320,0.00173580,0.01799530,4,0.34762967,,0.00002977,0.00002172,0.00001520,0.00154962,0.00139221,0.00123792
0.83333333,0.97050694,0.24785641,1.50010790,-0.05737541,0.29539506,0.00067965,0.00166098,0.01750809,4,0.29814675,,0.00002862,0.00002118,0.00001533,0.00151872,0.00137419,0.00124323
0.86666667,0.96800763,0.25752388,1.50009457,-0.06023690,0.29461625,0.00060307,0.00167996,0.01753929,4,0.27375862,,0.00002917,0.00002103,0.00001483,0.00153916,0.00137497,0.00122230
0.90000000,0.96537989,0.26720379,1.50012094,-0.06327991,0.29404072,0.00077222,0.00168125,0.01746169,4,0.29811354,,0.00002914,0.00002071,0.00001492,0.00153612,0.00136581,0.00122744
0.93333333,0.96262608,0.27682352,1.50011294,-0.06642576,0.29325048,0.00070975,0.00164273,0.01721824,4,0.35229908,,0.00002864,0.00002062,0.00001508,0.00152613,0.00136770,0.00123416
0.96666667,0.95979398,0.28646142,1.50012059,-0.06946353,0.29268933,0.00074199,0.00163604,0.01715142,4,0.28802567,,0.00002824,0.00002056,0.00001531,0.00151798,0.00136573,0.00124015
1.00000000,0.95687578,0.29602443,1.50015501,-0.07242320,0.29181371,0.00093869,0.00162717,0.01707512,4,0.29077867,,0.00002821,0.00002085,0.00001576,0.00152252,0.00137773,0.00125236
1.03333333,0.95386453,0.30556900,1.50016000,-0.07536171,0.29100236,0.00092850,0.00162170,0.01702906,4,0.30604229,,0.00002813,0.00002022,0.00001510,0.00152259,0.00135530,0.00122217
1.06666667,0.95079852,0.31506903,1.50015026,-0.07808026,0.29008056,0.00083932,0.00164874,0.01715385,4,0.28832021,,0.00002896,0.00002086,0.00001475,0.00154745,0.00138062,0.00121394
1.10000000,0.94759073,0.32457106,1.50012950,-0.08105780,0.28935232,0.00071313,0.00164107,0.01709338,4,0.27385246,,0.00002881,0.00002071,0.00001490,0.00153737,0.00137054,0.00122721
1.13333333,0.94430816,0.33406024,1.50011601,-0.08391408,0.28867846,0.00064524,0.00165990,0.01717282,4,0.27847992,,0.00002892,0.00002117,0.00001533,0.00153667,0.00138169,0.00124434
1.16666667,0.94093789,0.34346396,1.50010646,-0.08670765,0.28766340,0.00061453,0.00166783,0.01719939,4,0.27977471,,0.00002938,0.00002081,0.00001541,0.00154734,0.00136789,0.00124294
1.20000000,0.93744006,0.35280236,1.50013309,-0.08965912,0.28648449,0.00080944,0.00163653,0.01703123,4,0.27970550,,0.00002943,0.00002074,0.00001540,0.00154712,0.00136845,0.00123673
1.23333333,0.93386040,0.36217192,1.50014191,-0.09254153,0.28568071,0.00084531,0.00163709,0.01704956,4,0.32152104,,0.00002928,0.00002069,0.00001538,0.00153934,0.00136514,0.00123465
1.26666667,0.93014631,0.37144792,1.50011281,-0.09558467,0.28452202,0.00067050,0.00157679,0.01678540,4,0.31505679,,0.00002858,0.00002040,0.00001569,0.00152528,0.00136130,0.00124864
1.30000000,0.92635863,0.38073254,1.50012919,-0.09852332,0.28359128,0.00078570,0.00155371,0.01671330,4,0.32784363,,0.00002792,0.00002043,0.00001529,0.00151244,0.00136366,0.00122988
1.33333333,0.92250467,0.38999709,1.50014770,-0.10132368,0.28270474,0.00088618,0.00156236,0.01678924,4,0.28691879,,0.00002761,0.00002064,0.00001564,0.00150998,0.00136995,0.00124502
1.36666667,0.91854420,0.39920054,1.50015161,-0.10419396,0.28165304,0.00089667,0.00154872,0.01673586,4,0.29067767,,0.00002710,0.00002043,0.00001596,0.00150233,0.00136138,0.00125452
1.40000000,0.91448914,0.40835406,1.50015561,-0.10707164,0.28052189,0.00091695,0.00152877,0.01664627,4,0.28653763,,0.00002664,0.00002061,0.00001630,0.00149701,0.00136848,0.00126250
