timestamp,camera_id,u,v,visible,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz
0.00000000,camera_0,320.00000000,244.00000000,true,0.00000000,0.00000000,1.56133339,0.26400000,0.19800000,0.10743493
0.00000000,camera_1,321.00000000,243.00000000,true,0.00000000,0.00000000,1.56133339,0.26400000,0.19800000,0.10743493
0.00000000,camera_2,320.00000000,245.00000000,true,0.00000000,0.00000000,1.56133339,0.26400000,0.19800000,0.10743493
0.00000000,camera_3,319.00000000,245.00000000,true,0.00000000,0.00000000,1.56133339,0.26400000,0.19800000,0.10743493
0.03333333,camera_0,319.00000000,246.00000000,true,0.00879992,0.00659976,1.56491152,0.26399290,0.19797870,0.10725175
0.03333333,camera_1,319.00000000,246.00000000,true,0.00879992,0.00659976,1.56491152,0.26399290,0.19797870,0.10725175
0.03333333,camera_2,321.00000000,245.00000000,true,0.00879992,0.00659976,1.56491152,0.26399290,0.19797870,0.10725175
0.03333333,camera_3,319.00000000,245.00000000,true,0.00879992,0.00659976,1.56491152,0.26399290,0.19797870,0.10725175
0.06666667,camera_0,318.00000000,245.00000000,true,0.01759937,0.01319811,1.56848344,0.26397161,0.19791482,0.10706291
0.06666667,camera_1,319.00000000,246.00000000,true,0.01759937,0.01319811,1.56848344,0.26397161,0.19791482,0.10706291
0.06666667,camera_2,323.00000000,245.00000000,true,0.01759937,0.01319811,1.56848344,0.26397161,0.19791482,0.10706291
0.06666667,camera_3,319.00000000,244.00000000,true,0.01759937,0.01319811,1.56848344,0.26397161,0.19791482,0.10706291
0.10000000,camera_0,318.00000000,245.00000000,true,0.02639787,0.01979361,1.57204898,0.26393611,0.19780837,0.10686841
0.10000000,camera_1,319.00000000,247.00000000,true,0.02639787,0.01979361,1.57204898,0.26393611,0.19780837,0.10686841
0.10000000,camera_2,320.00000000,246.00000000,true,0.02639787,0.01979361,1.57204898,0.26393611,0.19780837,0.10686841
0.10000000,camera_3,321.00000000,244.00000000,true,0.02639787,0.01979361,1.57204898,0.26393611,0.19780837,0.10686841
0.13333333,camera_0,318.00000000,246.00000000,true,0.03519495,0.02638486,1.57560794,0.26388643,0.19765936,0.10666829
0.13333333,camera_1,318.00000000,246.00000000,true,0.03519495,0.02638486,1.57560794,0.26388643,0.19765936,0.10666829
0.13333333,camera_2,321.00000000,246.00000000,true,0.03519495,0.02638486,1.57560794,0.26388643,0.19765936,0.10666829
0.13333333,camera_3,320.00000000,243.00000000,true,0.03519495,0.02638486,1.57560794,0.26388643,0.19765936,0.10666829
0.16666667,camera_0,316.00000000,247.00000000,true,0.04399014,0.03297043,1.57916014,0.26382255,0.19746784,0.10646256
0.16666667,camera_1,317.00000000,247.00000000,true,0.04399014,0.03297043,1.57916014,0.26382255,0.19746784,0.10646256
0.16666667,camera_2,323.00000000,247.00000000,true,0.04399014,0.03297043,1.57916014,0.26382255,0.19746784,0.10646256
0.16666667,camera_3,320.00000000,244.00000000,true,0.04399014,0.03297043,1.57916014,0.26382255,0.19746784,0.10646256
0.20000000,camera_0,315.00000000,245.00000000,true,0.05278296,0.03954891,1.58270538,0.26374449,0.19723384,0.10625123
0.20000000,camera_1,317.00000000,247.00000000,true,0.05278296,0.03954891,1.58270538,0.26374449,0.19723384,0.10625123
0.20000000,camera_2,323.00000000,247.00000000,true,0.05278296,0.03954891,1.58270538,0.26374449,0.19723384,0.10625123
0.20000000,camera_3,320.00000000,244.00000000,true,0.05278296,0.03954891,1.58270538,0.26374449,0.19723384,0.10625123
0.23333333,camera_0,315.00000000,246.00000000,true,0.06157295,0.04611888,1.58624349,0.26365224,0.19695741,0.10603434
0.23333333,camera_1,317.00000000,247.00000000,true,0.06157295,0.04611888,1.58624349,0.26365224,0.19695741,0.10603434
0.23333333,camera_2,324.00000000,247.00000000,true,0.06157295,0.04611888,1.58624349,0.26365224,0.19695741,0.10603434
0.23333333,camera_3,321.00000000,243.00000000,true,0.06157295,0.04611888,1.58624349,0.26365224,0.19695741,0.10603434
0.26666667,camera_0,313.00000000,246.00000000,true,0.07035962,0.05267893,1.58977428,0.26354582,0.19663862,0.10581189
0.26666667,camera_1,315.00000000,248.00000000,true,0.07035962,0.05267893,1.58977428,0.26354582,0.19663862,0.10581189
0.26666667,camera_2,324.00000000,248.00000000,true,0.07035962,0.05267893,1.58977428,0.26354582,0.19663862,0.10581189
0.26666667,camera_3,322.00000000,242.00000000,true,0.07035962,0.05267893,1.58977428,0.26354582,0.19663862,0.10581189
0.30000000,camera_0,313.00000000,247.00000000,true,0.07914251,0.05922765,1.59329756,0.26342522,0.19627753,0.10558392
0.30000000,camera_1,313.00000000,248.00000000,true,0.07914251,0.05922765,1.59329756,0.26342522,0.19627753,0.10558392
0.30000000,camera_2,324.00000000,246.00000000,true,0.07914251,0.05922765,1.59329756,0.26342522,0.19627753,0.10558392
0.30000000,camera_3,320.00000000,243.00000000,true,0.07914251,0.05922765,1.59329756,0.26342522,0.19627753,0.10558392
0.33333333,camera_0,315.00000000,247.00000000,true,0.08792115,0.06576363,1.59681314,0.26329045,0.19587421,0.10535043
0.33333333,camera_1,315.00000000,248.00000000,true,0.08792115,0.06576363,1.59681314,0.26329045,0.19587421,0.10535043
0.33333333,camera_2,326.00000000,248.00000000,true,0.08792115,0.06576363,1.59681314,0.26329045,0.19587421,0.10535043
0.33333333,camera_3,320.00000000,242.00000000,true,0.08792115,0.06576363,1.59681314,0.26329045,0.19587421,0.10535043
0.36666667,camera_0,312.00000000,247.00000000,true,0.09669505,0.07228547,1.60032086,0.26314153,0.19542877,0.10511146
0.36666667,camera_1,314.00000000,247.00000000,true,0.09669505,0.07228547,1.60032086,0.26314153,0.19542877,0.10511146
0.36666667,camera_2,326.00000000,249.00000000,true,0.09669505,0.07228547,1.60032086,0.26314153,0.19542877,0.10511146
0.36666667,camera_3,324.00000000,243.00000000,true,0.09669505,0.07228547,1.60032086,0.26314153,0.19542877,0.10511146
0.40000000,camera_0,310.00000000,248.00000000,true,0.10546376,0.07879175,1.60382051,0.26297845,0.19494128,0.10486703
0.40000000,camera_1,313.00000000,248.00000000,true,0.10546376,0.07879175,1.60382051,0.26297845,0.19494128,0.10486703
0.40000000,camera_2,327.00000000,248.00000000,true,0.10546376,0.07879175,1.60382051,0.26297845,0.19494128,0.10486703
0.40000000,camera_3,320.00000000,241.00000000,true,0.10546376,0.07879175,1.60382051,0.26297845,0.19494128,0.10486703
0.43333333,camera_0,311.00000000,250.00000000,true,0.11422679,0.08528109,1.60731193,0.26280123,0.19441187,0.10461716
0.43333333,camera_1,314.00000000,248.00000000,true,0.11422679,0.08528109,1.60731193,0.26280123,0.19441187,0.10461716
0.43333333,camera_2,326.00000000,248.00000000,true,0.11422679,0.08528109,1.60731193,0.26280123,0.19441187,0.10461716
0.43333333,camera_3,321.00000000,243.00000000,true,0.11422679,0.08528109,1.60731193,0.26280123,0.19441187,0.10461716
0.46666667,camera_0,311.00000000,249.00000000,true,0.12298368,0.09175208,1.61079493,0.26260988,0.19384063,0.10436187
0.46666667,camera_1,312.00000000,248.00000000,true,0.12298368,0.09175208,1.61079493,0.26260988,0.19384063,0.10436187
0.46666667,camera_2,327.00000000,247.00000000,true,0.12298368,0.09175208,1.61079493,0.26260988,0.19384063,0.10436187
0.46666667,camera_3,322.00000000,244.00000000,true,0.12298368,0.09175208,1.61079493,0.26260988,0.19384063,0.10436187
0.50000000,camera_0,310.00000000,249.00000000,true,0.13173396,0.09820333,1.61426933,0.26240441,0.19322769,0.10410118
0.50000000,camera_1,312.00000000,249.00000000,true,0.13173396,0.09820333,1.61426933,0.26240441,0.19322769,0.10410118
0.50000000,camera_2,328.00000000,250.00000000,true,0.13173396,0.09820333,1.61426933,0.26240441,0.19322769,0.10410118
0.50000000,camera_3,320.00000000,241.00000000,true,0.13173396,0.09820333,1.61426933,0.26240441,0.19322769,0.10410118
0.53333333,camera_0,311.00000000,249.00000000,true,0.14047715,0.10463346,1.61773495,0.26218483,0.19257320,0.10383512
0.53333333,camera_1,313.00000000,249.00000000,true,0.14047715,0.10463346,1.61773495,0.26218483,0.19257320,0.10383512
